City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kavieng,-2.5744,150.7967,81.16,76,71,7.49,PG,1615823932
aksu,41.1231,80.2644,58.01,28,100,14.79,CN,1615823932
bluff,-46.6,168.3333,51.01,92,89,7.0,NZ,1615823932
ponta delgada,38.7333,-28.2667,62.6,88,40,9.22,PT,1615823933
jamestown,42.097,-79.2353,28.99,35,1,10.31,US,1615823933
vostok,46.4856,135.8833,28.15,76,100,3.51,RU,1615823933
puerto ayora,36.5939,-6.233,73.4,40,0,3.44,ES,1615823933
mount gambier,53.6597,-1.8537,52.0,79,79,1.99,GB,1615823934
bengkulu,-3.8004,102.2655,78.4,82,87,3.62,ID,1615823934
provideniya,64.3833,-173.3,7.23,96,60,5.64,RU,1615823935
mgandu,-5.95,34.1333,67.08,79,33,4.32,TZ,1615823935
namibe,-15.1961,12.1522,80.6,69,75,12.66,AO,1615823935
dickinson,29.4608,-95.0513,69.01,94,90,4.92,US,1615823936
komsomolskiy,40.4272,71.7189,37.4,70,40,2.3,UZ,1615823936
njombe,-9.3333,34.7667,59.32,96,14,2.95,TZ,1615823936
bitung,1.4451,125.1824,78.8,89,40,4.18,ID,1615823937
marawi,7.9986,124.2928,75.99,92,89,5.99,PH,1615823937
mataura,-46.1927,168.8643,51.01,92,95,7.0,NZ,1615823937
ancud,-41.8697,-73.8203,62.01,77,75,2.3,CL,1615823938
rikitea,-23.1203,-134.9692,80.58,71,45,1.52,PF,1615823938
ganzhou,28.8184,115.4327,67.44,93,98,5.32,CN,1615823938
hammerfest,70.6634,23.6821,28.4,80,40,20.71,NO,1615823939
butembo,0.15,29.2833,68.67,65,66,1.01,CD,1615823939
aljezur,37.3191,-8.8033,66.83,54,97,4.63,PT,1615823939
khatanga,71.9667,102.5,-21.32,96,100,9.86,RU,1615823940
acapulco,16.8634,-99.8901,78.8,78,20,2.17,MX,1615823737
punta arenas,8.9897,125.34,76.12,90,23,6.2,PH,1615823940
sioux lookout,42.7333,-96.2336,34.0,93,90,12.66,US,1615823941
port lincoln,-7.0349,29.7638,78.4,68,0,2.1,CD,1615823941
busselton,-33.65,115.3333,57.99,59,0,7.61,AU,1615823941
hermanus,-34.4187,19.2345,64.0,90,97,7.74,ZA,1615823941
eureka,40.8021,-124.1637,45.0,74,0,8.01,US,1615823942
cidreira,-30.1811,-50.2056,76.14,72,38,9.86,BR,1615823942
lyubymivka,46.8106,33.5686,45.16,62,42,12.19,UA,1615823943
saint-philippe,-21.3585,55.7679,82.4,65,0,1.14,RE,1615823943
matara,5.9485,80.5353,78.17,84,78,5.82,LK,1615823943
hithadhoo,-0.6,73.0833,84.16,65,100,6.04,MV,1615823944
hobart,-42.8794,147.3294,51.8,66,40,1.14,AU,1615823944
auki,-8.7676,160.7034,75.47,80,100,3.13,SB,1615823944
rudnogorsk,57.2639,103.7519,5.02,95,100,4.27,RU,1615823944
kapaa,22.0752,-159.319,69.8,94,20,5.75,US,1615823945
hofn,64.2539,-15.2082,37.4,93,90,5.75,IS,1615823945
yellowknife,62.456,-114.3525,-6.0,84,20,8.05,CA,1615823945
camopi,3.1655,-52.3158,83.7,74,90,4.14,GF,1615823946
victoria,22.2855,114.1577,73.0,85,72,1.01,HK,1615823905
thompson,55.7435,-97.8558,30.2,51,75,14.97,CA,1615823938
port elizabeth,-7.0349,29.7638,78.4,68,0,2.1,CD,1615823941
qaanaaq,77.484,-69.3632,-7.24,64,0,6.53,GL,1615823947
